;WEEK_PRI;YEAR_PRI;CASES
1033;47;2016;15
1034;47;2017;7
1035;47;2018;8
1036;47;2019;10
1037;47;2020;2
1038;47;2021;12
1039;47;2022;28
1040;47;2023;118
1041;48;2000;1
1042;48;2001;1
1043;48;2002;3
1044;48;2003;1
1045;48;2004;1
1046;48;2006;1
1047;48;2007;14
1048;48;2009;1
1049;48;2010;8
1050;48;2011;3
1051;48;2012;7
1052;48;2013;6
1053;48;2014;17
1054;48;2015;25
1055;48;2016;16
1056;48;2017;11
1057;48;2018;7
1058;48;2019;18
1059;48;2020;10
1060;48;2021;27
1061;48;2022;45
1062;48;2023;118
1063;49;2001;1
1064;49;2003;1
1065;49;2005;1
1066;49;2006;5
1067;49;2007;16
1068;49;2008;1
1069;49;2009;5
1070;49;2010;10
1071;49;2011;7
1072;49;2012;10
1073;49;2013;11
1074;49;2014;8
1075;49;2015;34
1076;49;2016;12
1077;49;2017;8
1078;49;2018;11
1079;49;2019;19
1080;49;2020;5
1081;49;2021;34
1082;49;2022;31
1083;49;2023;135
1084;50;2000;1
1085;50;2001;5
1086;50;2002;3
1087;50;2004;1
1088;50;2005;2
1089;50;2006;2
1090;50;2007;17
1091;50;2009;1
1092;50;2010;11
1093;50;2011;11
1094;50;2012;9
1095;50;2013;14
1096;50;2014;12
1097;50;2015;37
1098;50;2016;14
1099;50;2017;15
1100;50;2018;9
1101;50;2019;21
1102;50;2020;7
1103;50;2021;25
1104;50;2022;36
1105;50;2023;199
1106;51;2000;3
1107;51;2001;2
1108;51;2002;5
1109;51;2003;2
1110;51;2006;3
1111;51;2007;12
1112;51;2008;2
1113;51;2009;10
1114;51;2010;13
1115;51;2011;6
1116;51;2012;12
1117;51;2013;11
1118;51;2014;9
1119;51;2015;46
1120;51;2016;13
1121;51;2017;10
1122;51;2018;8
1123;51;2019;15
1124;51;2020;5
1125;51;2021;12
1126;51;2022;40
1127;51;2023;255
1128;52;2000;7
1129;52;2001;1
1130;52;2002;10
1131;52;2005;1
1132;52;2006;9
1133;52;2007;5
1134;52;2008;5
1135;52;2009;26
1136;52;2010;18
1137;52;2011;21
1138;52;2012;21
1139;52;2013;12
1140;52;2014;26
1141;52;2015;103
1142;52;2016;14
1143;52;2017;5
1144;52;2018;12
1145;52;2019;20
1146;52;2020;5
1147;52;2021;9
1148;52;2022;25
1149;52;2023;144
1150;53;2003;6
1151;53;2008;8
1152;53;2014;92
1153;53;2020;2
